ph,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
4.912557262009445,44063.09841662765,7.9279769445687425,280.9336642514092,327.4756503972149,14.857981085483177,,4.897372508450066,1.0
6.638411449233408,9772.504814179669,8.295983092416883,,401.1111433997851,12.601517331439425,61.05188924791957,5.164056620303689,1.0
6.152857802124513,24978.48317688876,8.216485933055083,323.8243755200661,406.0944270997211,10.881215335175,65.71471834095249,4.403083393696855,0.0
5.808975519906834,7965.207918480109,,262.9957563531879,377.69728280218186,17.401038875265442,69.46111109530082,3.599933101811887,1.0
6.890274539026094,12218.09594456384,8.022936053005736,350.6578721796257,394.4405811590347,17.064896903932038,86.63182291571216,4.100696951091244,0.0
8.151215310423664,13699.680707842788,3.8044282993197447,,460.52873600352905,14.951295013634422,79.63426080894891,3.523980505672175,0.0
8.394397411757225,10603.098020510712,7.84026050655083,352.8356398453932,376.2411456671788,13.374831199494622,58.95000171347894,2.8339014301371472,0.0
,9660.658301980391,8.827654541082934,397.9242402936577,315.7509090103922,16.71655697181717,17.000682933674803,3.9592936152493454,1.0
6.632031568588184,24161.25497902576,7.96452512488874,369.6215854010609,346.8604045432206,17.03360167698486,61.20546989437965,3.3862942904685025,1.0
9.074922874454952,21633.721726518783,7.427380620141568,394.1965211975249,339.3553331656084,6.658138624942751,,3.8404790099388846,0.0
